speaker_id,utterance_id,transcript,natural_audio_path,synthetic_audio_path,natural_embedding_path,synthetic_embedding_path,dataset_split
p228,p228_016,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_016_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_016_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_016.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_016.npy,train
p228,p228_018,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_018_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_018_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_018.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_018.npy,train
p228,p228_019,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_019_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_019_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_019.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_019.npy,train
p228,p228_020,Many complicated ideas about the rainbow have been formed.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_020_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_020_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_020.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_020.npy,train
p228,p228_021,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_021_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_021_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_021.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_021.npy,train
p228,p228_022,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_022_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_022_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_022.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_022.npy,train
p228,p228_023,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_023_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_023_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_023.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_023.npy,train
p228,p228_024,"This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_024_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_024_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_024.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_024.npy,train
p228,p228_025,It's nice to hear.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_025_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_025_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_025.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_025.npy,train
p228,p228_026,"So if we can take anything from tonight, it will be fantastic.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_026_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_026_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_026.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_026.npy,train
p228,p228_027,Because we do not need it.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_027_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_027_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_027.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_027.npy,train
p228,p228_028,"There's a story, too.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_028_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_028_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_028.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_028.npy,train
p228,p228_029,I feel I did not have enough time.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_029_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_029_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_029.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_029.npy,train
p228,p228_030,Life was like a timetable.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_030_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_030_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_030.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_030.npy,train
p228,p228_031,He took me on a tour of the wards.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_031_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_031_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_031.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_031.npy,train
p228,p228_032,We must provide a long-term solution to tackle this attitude.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_032_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_032_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_032.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_032.npy,train
p228,p228_033,"However, they continued in their pursuit of victory.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_033_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_033_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_033.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_033.npy,train
p228,p228_034,"In both cases, I suffered a fiasco.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_034_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_034_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_034.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_034.npy,train
p228,p228_035,It was clear.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_035_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_035_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_035.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_035.npy,train
p228,p228_036,The problem is the pitch.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_036_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_036_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_036.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_036.npy,train
p228,p228_037,"Indeed, he does.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_037_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_037_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_037.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_037.npy,train
p228,p228_038,President Bush is at war.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_038_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_038_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_038.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_038.npy,train
p228,p228_039,She is believed to be in South Africa.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_039_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_039_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_039.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_039.npy,train
p228,p228_040,My whole life has changed.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_040_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_040_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_040.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_040.npy,train
p228,p228_041,"On this showing, they should stick with the lads.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_041_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_041_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_041.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_041.npy,train
p228,p228_042,No meaningful response was issued.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_042_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_042_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_042.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_042.npy,train
p228,p228_043,It is urgent.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_043_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_043_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_043.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_043.npy,train
p228,p228_044,"Charlie Gordon, leader of the council, dismissed the suggestion.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_044_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_044_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_044.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_044.npy,train
p228,p228_045,Failure to comply with the order is likely to result in prison.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_045_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_045_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_045.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_045.npy,train
p228,p228_046,We need to chat.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p228\p228_046_mic1.flac,D:\vocalis_3.0\data\synthetic\p228\p228_046_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p228\p228_046.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p228\p228_046.npy,train
p239,p239_001,Please call Stella.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_001_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_001_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_001.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_001.npy,train
p239,p239_002,Ask her to bring these things with her from the store.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_002_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_002_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_002.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_002.npy,train
p239,p239_003,"Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_003_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_003_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_003.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_003.npy,train
p239,p239_004,We also need a small plastic snake and a big toy frog for the kids.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_004_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_004_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_004.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_004.npy,train
p239,p239_005,"She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_005_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_005_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_005.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_005.npy,train
p239,p239_006,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_006_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_006_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_006.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_006.npy,train
p239,p239_007,The rainbow is a division of white light into many beautiful colors.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_007_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_007_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_007.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_007.npy,train
p239,p239_008,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_008_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_008_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_008.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_008.npy,train
p239,p239_009,"There is , according to legend, a boiling pot of gold at one end.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_009_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_009_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_009.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_009.npy,train
p239,p239_010,"People look, but no one ever finds it.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_010_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_010_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_010.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_010.npy,train
p239,p239_011,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_011_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_011_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_011.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_011.npy,train
p239,p239_012,Throughout the centuries people have explained the rainbow in various ways.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_012_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_012_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_012.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_012.npy,train
p239,p239_013,Some have accepted it as a miracle without physical explanation.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_013_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_013_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_013.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_013.npy,train
p239,p239_014,To the Hebrews it was a token that there would be no more universal floods.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_014_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_014_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_014.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_014.npy,train
p239,p239_015,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_015_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_015_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_015.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_015.npy,train
p239,p239_016,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_016_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_016_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_016.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_016.npy,train
p239,p239_017,Others have tried to explain the phenomenon physically.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_017_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_017_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_017.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_017.npy,train
p239,p239_018,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_018_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_018_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_018.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_018.npy,train
p239,p239_019,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_019_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_019_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_019.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_019.npy,train
p239,p239_020,Many complicated ideas about the rainbow have been formed.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_020_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_020_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_020.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_020.npy,train
p239,p239_021,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_021_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_021_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_021.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_021.npy,train
p239,p239_022,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows.,D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_022_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_022_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_022.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_022.npy,train
p239,p239_023,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_023_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_023_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_023.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_023.npy,train
p239,p239_024,"This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_024_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_024_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_024.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_024.npy,train
p239,p239_025,"They might have asked, for goodness sake.",D:\vocalis_3.0\data\raw\VCTK\wav48_silence_trimmed\p239\p239_025_mic1.flac,D:\vocalis_3.0\data\synthetic\p239\p239_025_synthetic.wav,D:\vocalis_3.0\data\embeddings\natural\ecapa\p239\p239_025.npy,D:\vocalis_3.0\data\embeddings\synthetic\ecapa\p239\p239_025.npy,train
